visitor_id,date,bank,channel,city,device,visited,lead,customer,product,revenue
V000001,2024-01-01 00:00:00,Global IME Bank,Email Campaign,Biratnagar,Mobile,1,0,0,No Product,0
V000002,2024-01-01 01:00:00,Machhapuchhre Bank,Facebook Ads,Lalitpur,Desktop,1,0,0,No Product,0
V000003,2024-01-01 02:00:00,Everest Bank,Email Campaign,Nepalgunj,Tablet,1,0,0,No Product,0
V000004,2024-01-01 03:00:00,Machhapuchhre Bank,Referral,Pokhara,Desktop,1,0,0,No Product,0
V000005,2024-01-01 04:00:00,Machhapuchhre Bank,Google Search,Biratnagar,Mobile,1,1,0,No Product,0
V000006,2024-01-01 05:00:00,NMB Bank,Google Search,Nepalgunj,Mobile,1,0,0,No Product,0
V000007,2024-01-01 06:00:00,Everest Bank,Organic Search,Nepalgunj,Desktop,1,1,0,No Product,0
V000008,2024-01-01 07:00:00,Everest Bank,Referral,Biratnagar,Tablet,1,1,0,No Product,0
V000009,2024-01-01 08:00:00,Everest Bank,Organic Search,Kathmandu,Tablet,1,0,0,No Product,0
V000010,2024-01-01 09:00:00,Machhapuchhre Bank,Organic Search,Butwal,Desktop,1,1,0,No Product,0
V000011,2024-01-01 10:00:00,Global IME Bank,Facebook Ads,Kathmandu,Mobile,1,1,0,No Product,0
V000012,2024-01-01 11:00:00,Everest Bank,Referral,Butwal,Tablet,1,1,1,Fixed Deposit,128053
V000013,2024-01-01 12:00:00,NIC Asia Bank,Google Search,Pokhara,Tablet,1,0,0,No Product,0
V000014,2024-01-01 13:00:00,Machhapuchhre Bank,Referral,Bharatpur,Desktop,1,1,0,No Product,0
V000015,2024-01-01 14:00:00,NMB Bank,Facebook Ads,Bharatpur,Tablet,1,0,0,No Product,0
V000016,2024-01-01 15:00:00,Global IME Bank,Referral,Nepalgunj,Mobile,1,0,0,No Product,0
V000017,2024-01-01 16:00:00,NIC Asia Bank,Referral,Biratnagar,Desktop,1,0,0,No Product,0
V000018,2024-01-01 17:00:00,NIC Asia Bank,Organic Search,Bharatpur,Tablet,1,1,1,Fixed Deposit,71997
V000019,2024-01-01 18:00:00,NMB Bank,Referral,Lalitpur,Mobile,1,0,0,No Product,0
